"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46167","Vijaysales POM JSON Driven Test","chromium","Tue Dec 09 13:22:56 IST 2025","broken","Tue Dec 09 13:23:42 IST 2025","","vijaysalesPOM.spec.js","",""
"","27631","VijaySales POM Automation","chromium","Mon Dec 08 14:37:13 IST 2025","failed","Mon Dec 08 14:37:40 IST 2025","","vijaysalesPOM.spec.js","",""
"","30917","Vijaysales","chromium","Mon Dec 08 13:42:57 IST 2025","failed","Mon Dec 08 13:43:28 IST 2025","","vsalesjson.spec.js","",""
"","13408","Vijaysales POM Test","chromium","Tue Dec 09 13:17:36 IST 2025","failed","Tue Dec 09 13:17:50 IST 2025","","vijaysalesPOM.spec.js","",""
"","88125","Snaptrude","chromium","Mon Dec 22 12:07:12 IST 2025","passed","Mon Dec 22 12:08:40 IST 2025","","snaptrude_circle.spec.js","",""
"","34369","Vijaysales","chromium","Fri Dec 05 20:39:11 IST 2025","broken","Fri Dec 05 20:39:46 IST 2025","","vijaysales.spec.js","",""
"","1","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","1","has title","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","17462","Practice Form Automation using JSON Data","chromium","Thu Dec 04 19:20:46 IST 2025","passed","Thu Dec 04 19:21:03 IST 2025","","","",""
"","13903","Vijaysales","chromium","Mon Dec 08 13:19:12 IST 2025","failed","Mon Dec 08 13:19:26 IST 2025","","vs1.spec.js","",""
"","1","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","0","Practice Form Automation using JSON (POM)","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","1","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","1","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","8435","Vijaysales POM with Home/Search/Product Pages","chromium","Tue Dec 09 12:54:54 IST 2025","failed","Tue Dec 09 12:55:03 IST 2025","","vijaysalesPOM.spec.js","",""
"","7623","Vijaysales - Multi Page Object Model","chromium","Tue Dec 09 13:29:13 IST 2025","failed","Tue Dec 09 13:29:21 IST 2025","","vijaysalesPOM.spec.js","",""
"","35256","Vijaysales JSON Driven Test","chromium","Mon Dec 08 16:08:52 IST 2025","broken","Mon Dec 08 16:09:27 IST 2025","","vsalesjson.spec.js","",""
"","44270","Vijaysales - JSON Driven Fully","chromium","Tue Dec 09 12:33:31 IST 2025","passed","Tue Dec 09 12:34:15 IST 2025","","vsalesjson.spec.js","",""
"","24926","test_1","chromium","Fri Dec 05 12:03:06 IST 2025","failed","Fri Dec 05 12:03:31 IST 2025","","vijaysales.spec.js","",""
"","33726","VijaySales POM with JSON Test","chromium","Mon Dec 08 19:05:32 IST 2025","broken","Mon Dec 08 19:06:06 IST 2025","","vijaysalesPOM.spec.js","",""
"","34770","Vijaysales","chromium","Sun Dec 07 17:32:33 IST 2025","broken","Sun Dec 07 17:33:07 IST 2025","","demovijay.spec.js","",""
"","0","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","35132","Vijaysales","chromium","Tue Dec 09 12:10:53 IST 2025","passed","Tue Dec 09 12:11:28 IST 2025","","demovsales.spec.js","",""
"","11844","Practice Form Automation using JSON Data","chromium","Thu Dec 04 18:58:02 IST 2025","passed","Thu Dec 04 18:58:14 IST 2025","","","",""
"","60146","Snaptrude","chromium","Fri Dec 19 15:14:40 IST 2025","passed","Fri Dec 19 15:15:40 IST 2025","","snaptrude.spec.js","",""
"","1","Practice demo","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","37517","Vijaysales JSON + 3-Page POM Test","chromium","Mon Dec 08 15:26:31 IST 2025","broken","Mon Dec 08 15:27:08 IST 2025","","vijaysalesPOM.spec.js","",""
"","1","get started link","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","31551","VijaySales Full End-to-End Flow","chromium","Sun Dec 07 17:00:51 IST 2025","broken","Sun Dec 07 17:01:23 IST 2025","","demovijay.spec.js","",""
"","6","test_1","chromium","Fri Dec 05 11:14:21 IST 2025","skipped","Fri Dec 05 11:14:21 IST 2025","","","",""
"","61030","Vijaysales - JSON Driven POM","chromium","Wed Dec 10 19:07:40 IST 2025","passed","Wed Dec 10 19:08:41 IST 2025","","vijaysalesPOM.spec.js","",""
"","41990","Vijay Sales End-to-End Cart & Checkout Flow","chromium","Fri Dec 05 16:08:28 IST 2025","broken","Fri Dec 05 16:09:10 IST 2025","","demovijay.spec.js","",""
